gvkey,iid,shortintadj,datadate,tic
108132,01,6429465.0000,1997-02-14,SPY
108132,01,233479047.0000,2016-05-31,SPY
108132,01,296198400.0000,2008-03-31,SPY
108132,01,273924608.0000,2016-06-30,SPY
108132,01,11579924.0000,2001-04-12,SPY
108132,01,242482544.0000,2016-07-29,SPY
108132,01,332702976.0000,2008-04-30,SPY
108132,01,245703424.0000,2016-08-31,SPY
108132,01,1616402.0000,1995-02-15,SPY
108132,01,223823344.0000,2016-09-30,SPY
108132,01,336122880.0000,2008-05-30,SPY
108132,01,241566288.0000,2016-10-31,SPY
108132,01,18248144.0000,2001-06-15,SPY
108132,01,234739024.0000,2016-11-30,SPY
108132,01,306809856.0000,2008-06-30,SPY
108132,01,182376512.0000,2016-12-30,SPY
108132,01,7095780.0000,1997-04-15,SPY
108132,01,196452400.0000,2017-01-31,SPY
108132,01,305707776.0000,2008-07-31,SPY
108132,01,227810448.0000,2017-02-28,SPY
108132,01,20182448.0000,2001-08-15,SPY
108132,01,171123248.0000,2017-03-31,SPY
108132,01,280748288.0000,2008-08-29,SPY
108132,01,182018928.0000,2017-04-28,SPY
108132,01,1009144.0000,1994-02-15,SPY
108132,01,175846304.0000,2017-05-31,SPY
108132,01,278032640.0000,2008-09-30,SPY
108132,01,155460368.0000,2017-06-30,SPY
108132,01,35801136.0000,2001-10-15,SPY
108132,01,175256080.0000,2017-07-31,SPY
108132,01,310713088.0000,2008-10-31,SPY
108132,01,168762064.0000,2017-08-31,SPY
108132,01,5563294.0000,1997-06-13,SPY
108132,01,161106528.0000,2017-09-29,SPY
108132,01,367347456.0000,2008-11-28,SPY
108132,01,158846608.0000,2017-10-31,SPY
108132,01,41244048.0000,2001-12-14,SPY
108132,01,186027232.0000,2017-11-30,SPY
108132,01,306635008.0000,2008-12-31,SPY
108132,01,123949136.0000,2017-12-29,SPY
108132,01,3010832.0000,1995-04-13,SPY
108132,01,152238352.0000,2018-01-31,SPY
108132,01,285746432.0000,2009-01-30,SPY
108132,01,203868832.0000,2018-02-28,SPY
108132,01,36281680.0000,2002-02-15,SPY
108132,01,194074176.0000,2018-03-29,SPY
108132,01,344366848.0000,2009-02-27,SPY
108132,01,194530784.0000,2018-04-30,SPY
108132,01,9292920.0000,1997-08-15,SPY
108132,01,158536992.0000,2018-05-31,SPY
108132,01,309416448.0000,2009-03-31,SPY
108132,01,168658768.0000,2018-06-29,SPY
108132,01,37430352.0000,2002-04-15,SPY
108132,01,146497056.0000,2018-07-31,SPY
108132,01,280475648.0000,2009-04-30,SPY
108132,01,149812640.0000,2018-08-31,SPY
108132,01,529168.0000,1993-08-13,SPY
108132,01,151659360.0000,2018-09-28,SPY
108132,01,299715584.0000,2009-05-29,SPY
108132,01,186283200.0000,2018-10-31,SPY
108132,01,39220464.0000,2002-06-14,SPY
108132,01,178490288.0000,2018-11-30,SPY
108132,01,277213696.0000,2009-06-30,SPY
108132,01,208927376.0000,2018-12-31,SPY
108132,01,9950850.0000,1997-10-15,SPY
108132,01,163823504.0000,2019-01-31,SPY
108132,01,276031488.0000,2009-07-31,SPY
108132,01,152318848.0000,2019-02-28,SPY
108132,01,56318944.0000,2002-08-15,SPY
108132,01,147668176.0000,2019-03-29,SPY
108132,01,256878560.0000,2009-08-31,SPY
108132,01,162245888.0000,2019-04-30,SPY
108132,01,1970390.0000,1995-06-15,SPY
108132,01,157099472.0000,2019-05-31,SPY
108132,01,270240000.0000,2009-09-30,SPY
108132,01,149678336.0000,2019-06-28,SPY
108132,01,73567216.0000,2002-10-15,SPY
108132,01,128968096.0000,2019-07-31,SPY
108132,01,287427072.0000,2009-10-30,SPY
108132,01,148380064.0000,2019-08-30,SPY
108132,01,11544045.0000,1997-12-15,SPY
108132,01,130534176.0000,2019-09-30,SPY
108132,01,293362688.0000,2009-11-30,SPY
108132,01,125243152.0000,2019-10-31,SPY
108132,01,62315392.0000,2002-12-13,SPY
108132,01,138055056.0000,2019-11-29,SPY
108132,01,190470448.0000,2009-12-31,SPY
108132,01,129655728.0000,2019-12-31,SPY
108132,01,2244911.0000,1994-04-15,SPY
108132,01,122814864.0000,2020-01-31,SPY
108132,01,248837216.0000,2010-01-29,SPY
108132,01,146563168.0000,2020-02-28,SPY
108132,01,61057856.0000,2003-02-14,SPY
108132,01,238192080.0000,2020-03-31,SPY
108132,01,250075904.0000,2010-02-26,SPY
108132,01,193932752.0000,2020-04-30,SPY
108132,01,14126924.0000,1998-02-13,SPY
108132,01,191895168.0000,2020-05-29,SPY
108132,01,232808624.0000,2010-03-31,SPY
108132,01,193702720.0000,2020-06-30,SPY
108132,01,66496480.0000,2003-04-15,SPY
108132,01,164959248.0000,2020-07-31,SPY
108132,01,282033152.0000,2010-04-30,SPY
108132,01,164996752.0000,2020-08-31,SPY
108132,01,2555456.0000,1995-08-15,SPY
108132,01,150759728.0000,2020-09-30,SPY
108132,01,313799168.0000,2010-05-28,SPY
108132,01,165079088.0000,2020-10-30,SPY
108132,01,83694464.0000,2003-06-13,SPY
108132,01,152206288.0000,2020-11-30,SPY
108132,01,314367232.0000,2010-06-30,SPY
108132,01,144103184.0000,2020-12-31,SPY
108132,01,16955376.0000,1998-04-15,SPY
108132,01,152246896.0000,2021-01-29,SPY
108132,01,305182208.0000,2010-07-30,SPY
108132,01,183949504.0000,2021-02-26,SPY
108132,01,113174832.0000,2003-08-15,SPY
108132,01,164423434.0000,2021-03-31,SPY
108132,01,339727104.0000,2010-08-31,SPY
108132,01,151081868.0000,2021-04-30,SPY
108132,01,139623181.0000,2021-05-28,SPY
108132,01,298953728.0000,2010-09-30,SPY
108132,01,140564560.0000,2021-06-30,SPY
108132,01,107463456.0000,2003-10-15,SPY
108132,01,143649312.0000,2021-07-30,SPY
108132,01,275537152.0000,2010-10-29,SPY
108132,01,158059582.0000,2021-08-31,SPY
108132,01,23760032.0000,1998-06-15,SPY
108132,01,154918163.0000,2021-09-30,SPY
108132,01,294192896.0000,2010-11-30,SPY
108132,01,140594810.0000,2021-10-29,SPY
108132,01,127091968.0000,2003-12-15,SPY
108132,01,149681807.0000,2021-11-30,SPY
108132,01,253681376.0000,2010-12-31,SPY
108132,01,131960926.0000,2021-12-31,SPY
108132,01,2122978.0000,1995-10-13,SPY
108132,01,143651122.0000,2022-01-31,SPY
108132,01,252820752.0000,2011-01-31,SPY
108132,01,166664604.0000,2022-02-28,SPY
108132,01,121919776.0000,2004-02-13,SPY
108132,01,145512266.0000,2022-03-31,SPY
108132,01,296448512.0000,2011-02-28,SPY
108132,01,153021310.0000,2022-04-29,SPY
108132,01,22592720.0000,1998-08-14,SPY
108132,01,163851179.0000,2022-05-31,SPY
108132,01,308437504.0000,2011-03-31,SPY
108132,01,161965059.0000,2022-06-30,SPY
108132,01,87983696.0000,2004-04-15,SPY
108132,01,173070518.0000,2022-07-29,SPY
108132,01,346454784.0000,2011-04-29,SPY
108132,01,159727980.0000,2022-08-31,SPY
108132,01,1513102.0000,1994-06-15,SPY
108132,01,163724723.0000,2022-09-30,SPY
108132,01,334784512.0000,2011-05-31,SPY
108132,01,140211025.0000,2022-10-31,SPY
108132,01,80676080.0000,2004-06-15,SPY
108132,01,131930102.0000,2022-11-30,SPY
108132,01,344270336.0000,2011-06-30,SPY
108132,01,149084802.0000,2022-12-30,SPY
108132,01,28619488.0000,1998-10-15,SPY
108132,01,130309121.0000,2023-01-31,SPY
108132,01,337972992.0000,2011-07-29,SPY
108132,01,143393072.0000,2023-02-28,SPY
108132,01,95608016.0000,2004-08-13,SPY
108132,01,136994054.0000,2023-03-31,SPY
108132,01,500181504.0000,2011-08-31,SPY
108132,01,147028289.0000,2023-04-28,SPY
108132,01,2513895.0000,1995-12-15,SPY
108132,01,143805456.0000,2023-05-31,SPY
108132,01,28630.0000,1993-02-12,SPY
108132,01,103006.0000,1993-03-15,SPY
108132,01,188280.0000,1993-05-14,SPY
108132,01,1214062.0000,1993-09-15,SPY
108132,01,2228052.0000,1994-05-13,SPY
108132,01,2293394.0000,1995-09-15,SPY
108132,01,22490352.0000,1998-05-15,SPY
108132,01,104245648.0000,2003-09-15,SPY
108132,01,318531072.0000,2010-09-15,SPY
108132,01,137570567.0000,2021-05-14,SPY
